Year,Date,Day,b1,b2,b3,b4,b5,b6,BonusBall,mean,median,std,min,max,range,sum_without_bonus,sum_with_bonus,even_count,odd_count,low_range_count,high_range_count,prev_common_count,has_consecutive
2015,03 October,Saturday,29,16,41,48,2,44,23,30.0,35.0,16.441816606851365,2,48,46,180,203,4,2,2,4,0,False
2015,30 September,Wednesday,49,40,46,4,3,44,1,31.0,42.0,19.629909152447276,3,49,46,186,187,4,2,2,4,1,True
2015,26 September,Saturday,32,9,39,37,46,28,42,31.833333333333332,34.5,11.653564070942227,9,46,37,191,233,3,3,1,5,1,False
2015,23 September,Wednesday,8,46,23,28,14,35,17,25.666666666666668,25.5,12.657891697365017,8,46,38,154,171,4,2,3,3,2,False
2015,19 September,Saturday,9,1,39,33,19,2,16,17.166666666666668,14.0,14.656246298270084,1,39,38,103,119,1,5,4,2,0,True
2015,16 September,Wednesday,47,7,38,3,13,5,28,18.833333333333332,10.0,17.20868643705524,3,47,44,113,141,1,5,4,2,0,False
2015,12 September,Saturday,7,2,21,47,42,43,48,27.0,31.5,17.99073835801818,2,47,45,162,210,2,4,3,3,2,True
2015,09 September,Wednesday,45,37,7,41,9,23,31,27.0,30.0,15.05545305418162,7,45,38,162,193,0,6,3,3,1,False
2015,05 September,Saturday,8,19,2,1,18,42,10,15.0,13.0,13.9522996909709,1,42,41,90,100,4,2,5,1,0,True
2015,02 September,Wednesday,6,4,3,23,39,8,18,13.833333333333334,7.0,13.082006302126937,3,39,36,83,101,3,3,5,1,1,True
2015,29 August,Saturday,36,28,14,32,46,31,3,31.166666666666668,31.5,9.564111156935715,14,46,32,187,190,5,1,1,5,0,True
2015,26 August,Wednesday,37,20,21,42,11,30,28,26.833333333333332,25.5,10.605292179955356,11,42,31,161,189,3,3,3,3,0,True
2015,22 August,Saturday,4,9,38,34,41,1,17,21.166666666666668,21.5,16.78706512632734,1,41,40,127,144,3,3,3,3,0,False
2015,19 August,Wednesday,28,2,3,1,23,6,24,10.5,4.5,10.812801055539063,1,28,27,63,87,3,3,5,1,1,True
2015,15 August,Saturday,11,33,16,2,43,24,14,21.5,20.0,13.671747023210555,2,43,41,129,143,3,3,4,2,1,False
2015,12 August,Wednesday,32,29,20,6,25,35,46,24.5,27.0,9.569918146637061,6,35,29,147,193,3,3,3,3,0,False
2015,08 August,Saturday,29,12,22,17,37,48,40,27.5,25.5,12.203141671990318,12,48,36,165,205,3,3,3,3,1,False
2015,01 August,Saturday,33,40,24,8,38,22,26,27.5,28.5,10.950646860650135,8,40,32,165,191,5,1,3,3,1,False
2015,29 July,Wednesday,34,28,6,3,43,39,2,25.5,31.0,15.56438241627338,3,43,40,153,155,3,3,2,4,0,False
2015,11 July,Saturday,14,30,3,2,25,31,5,17.5,19.5,11.954775893619532,2,31,29,105,110,3,3,4,2,1,True
2015,08 July,Wednesday,30,23,39,48,5,26,47,28.5,28.0,13.425721582097552,5,48,43,171,218,3,3,2,4,1,False
2015,04 July,Saturday,5,6,2,7,8,37,48,10.833333333333334,6.5,11.852097798374016,2,37,35,65,113,3,3,5,1,1,True
2015,27 June,Saturday,32,18,42,37,6,28,39,27.166666666666668,30.0,12.061186600920418,6,42,36,163,202,5,1,2,4,2,False
2015,24 June,Wednesday,3,39,5,23,43,36,45,24.833333333333332,29.5,15.962629969887656,3,43,40,149,194,1,5,3,3,0,False
2015,20 June,Saturday,28,4,48,45,44,39,12,34.666666666666664,41.5,15.140086598901018,4,48,44,208,220,4,2,1,5,1,True
2015,17 June,Wednesday,34,28,22,13,14,32,15,23.833333333333332,25.0,8.214147686901072,13,34,21,143,158,5,1,3,3,1,True
2015,13 June,Saturday,10,24,43,35,23,36,37,28.5,29.5,10.812801055539063,10,43,33,171,208,3,3,3,3,0,True
2015,10 June,Wednesday,3,48,23,37,40,5,2,26.0,30.0,17.224014243685083,3,48,45,156,158,2,4,3,3,1,False
